采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,秒贷金融,85,7.71%,3,2.15,2,0.00,8900.51,-101.81
2017-09-30,千企贷,84,10%,8,1.00,1,42.33,515.13,84.7
2017-09-30,小平贷,83.42,11.97%,19,7.77,272,329.52,3968.13,30.7
2017-09-30,方元金服,83,7.67%,63,7.66,3,87.00,12237.74,74.79
2017-09-30,钱诚理财,80,11.55%,7,4.88,2,0.50,998.07,83.81
2017-09-30,泰山金融,80,8.88%,9,8.25,2,2746.23,10774.12,2.62
2017-09-30,便民投,77.85,7.5%,13,0.50,1,131.17,1541.94,57.94
2017-09-30,世纪金服,75,13.76%,22,5.28,1,45.75,18804.06,-27.83
2017-09-30,信融投资,74.46,10.2%,83,0.97,6,442.20,5144.77,0
2017-09-30,车富88,73.83,10.07%,42,4.50,9,16.64,4784.6,-17.82
2017-09-30,长久贷,73,13.32%,57,1.89,3,957.47,12191.55,-21
2017-09-30,房易贷,71,12.58%,49,9.46,3,98.00,13533.87,23.46
2017-09-30,今日捷财,70.68,8.69%,0,5.06,2,0,36103.68,-10.53
2017-09-30,优车融,70.5,13%,10,1.00,8,453.63,2720.46,-8.29
2017-09-30,亿亿理财,70,9.6%,18,6.00,1,0.00,3828.05,53.08
2017-09-30,益合贷,69.8,12%,17,1.87,10,33.84,2436.55,17.83
2017-09-30,堆金网,69.5,12.38%,15,5.68,5,2890.46,8802.33,11.41
2017-09-30,搜搜金融网,67.2,11.4%,17,2.13,7,29.24,2084.38,25.7
2017-09-30,隆泰贷,66,10.95%,18,2.62,6,78.45,3659.51,-36.71
2017-09-30,锐盈财富,65,10.54%,31,3.69,3,2.55,3788.36,66.08
2017-09-30,脐橙金融,64.4,9.99%,44,3.79,8,834.30,9881.82,-47.66
2017-09-30,冀金宝,60,11.33%,17,4.00,1,7.33,5778.83,-2.08
2017-09-30,合力贷,60,9.83%,13,2.67,2,2821.49,23846.02,-64.79
2017-09-30,寻贷网,58,9.88%,15,1.21,2,25.36,6072.54,41.06
2017-09-30,国民丰泰,56,11.79%,35,2.46,5,842.36,3259.85,16.24
2017-09-30,律信智投,55.6,13.72%,20,1.72,3,0.67,2041.09,5.2
2017-09-30,找银子,53.5,8.53%,15,2.16,6,658.68,1502.57,47.32
2017-09-30,大时贷,52,14.62%,7,7.27,3,780.42,11315.51,-31.06
2017-09-30,私房投,50,13.92%,18,2.60,5,120.03,517.37,23.44
2017-09-30,易BANK,50,10%,9,3.97,1,1722.27,5341.89,-1
2017-09-30,短融网,49.17,12%,99,0.17,3,1376.59,43217.02,-318.66
2017-09-30,跃龙财富,48,15%,16,1.13,6,1.15,1336.33,7.15
2017-09-30,微易贷,46.66,17.49%,58,9.55,55,29.26,8050.29,13.84
2017-09-30,无忧车贷,46.3,11.58%,10,3.14,4,406.87,3601.53,-1.03
2017-09-30,惠车贷,44.1,15%,38,1.31,5,48.61,1531.52,-0.74
2017-09-30,利好贷,44,12.94%,0,5.57,3,67.37,8063.15,7.79
2017-09-30,汉沃财富,44,13.82%,6,7.32,4,2734.00,4062.08,47.16
2017-09-30,点点财富,44,14.4%,7,4.68,5,0.68,5427.34,4.57
2017-09-30,融信网,40,10.71%,0,4.75,2,0,13464.59,11.47
2017-09-30,三益宝,40,13.5%,20,12.00,2,26.41,44337.89,42.53
2017-09-30,恒利网,39.7,10%,48,1.33,7,339.12,3048.34,-85.76
2017-09-30,微E贷,37.5,8.73%,13,2.47,2,2880.00,5094.38,-4.77
2017-09-30,金票通,36.72,6.32%,20,2.71,1,418.48,745598.6,0
2017-09-30,众联财富,36,12.5%,21,1.00,1,0.45,1003.73,-0.66
2017-09-30,车能贷,35.31,9.48%,60,1.00,6,36.95,3371.73,-115.39
2017-09-30,车赚,35.29,15.04%,38,0.99,7,53.96,1335.99,-16.83
2017-09-30,阜阳金融网,35,17.86%,35,3.14,1,1009.29,4327.63,-9.58
2017-09-30,蜀丰财富,35,10%,21,1.00,7,0.23,1803.34,25.21
2017-09-30,中融通贷,34,11.82%,13,3.03,4,236.53,5680.01,-2.2
2017-09-30,聚宝珠,33.2,9.24%,6,2.04,7,802.97,1022.75,18.53
2017-09-30,日融财富,32,11.36%,18,6.52,5,111.81,2095.72,-29.7
2017-09-30,前海广深发,30.3,13.03%,35,6.65,1,1581.92,7091.38,-39.8
2017-09-30,YES金融,30,9%,2,3.00,1,14.22,2534.7,-10.23
2017-09-30,合众金服,30,7.9%,0,3.67,2,4446.79,81537.21,-87.97
2017-09-30,百财车贷,29.5,9.18%,30,2.85,4,0.49,3255.19,17.89
2017-09-30,京金所,27.32,9.5%,9,7.53,2,501.25,14383.27,-128.76
2017-09-30,金福财富,26.5,16.61%,30,8.19,3,324.72,6359.31,8.08
2017-09-30,创融在线,26.49,21.64%,13,5.15,1,0.00,2057.54,27.86
2017-09-30,甬e贷,26,10.15%,13,1.46,3,908.68,2453.01,-165.72
2017-09-30,如意财富,24.5,13.2%,14,3.00,2,597.00,908.54,18.72
2017-09-30,介贷,24.01,13.66%,17,10.16,21,0.98,23831.31,-31.01
2017-09-30,宝点网,24,11.95%,126,9.92,6,1049.15,21916,-169.26
2017-09-30,皖都金融,24,10.33%,15,1.80,3,14.95,1950.9,-38.63
2017-09-30,惠富天下,23.5,11.22%,14,4.53,5,0,0,-0.06
2017-09-30,爱上贷,21,15.07%,26,1.00,7,0.31,956.18,-0.01
2017-09-30,联保投资网,20.6,15.6%,4,1.33,5,4.25,186.82,20.96
2017-09-30,蜂投网,20,15%,11,1.50,1,1080.26,3421.2,-15.71
2017-09-30,温易贷,20,13.8%,12,1.00,1,336.23,627.13,0
2017-09-30,艺点理财,20,12%,7,3.00,1,0,4328.66,-60.4
2017-09-30,你好贷,20,8.5%,12,3.00,1,140.41,3899.84,-0.53
2017-09-30,融易投,20,10.5%,31,3.00,2,132.06,986.48,-0.95
2017-09-30,汇财贷,20,12%,2,3.00,1,1156.09,2994.01,17.18
2017-09-30,赶贷网,17.34,13%,11,3.63,5,540.26,2743.6,4.62
2017-09-30,云钱袋,17,10.5%,1,12.00,1,0.00,27544.33,-155.37
2017-09-30,惠农时贷,15.68,9.62%,17,11.23,5,881.20,821.95,12.5
2017-09-30,产融贷,15,14%,5,3.00,1,2.92,537.53,-1.67
2017-09-30,钱内助,12.08,8%,366,1.00,1,23.49,9169.5,-110.13
2017-09-30,豆蔓智投,10,7%,3,1.00,1,1433.49,22305.28,-930.82
2017-09-30,飞特金融,10,12.1%,1,1.00,1,0.00,1712.38,-187.41
2017-09-30,钱富通,10,18.5%,9,12.00,1,2830.43,4124.95,-20.06
2017-09-30,熊猫贷,10,16.2%,6,1.00,2,392.00,539.18,4.05
2017-09-30,医购贷,10,10%,11,6.00,1,0.00,36442.35,-110.97
2017-09-30,众金在线,10,11%,99,2.00,1,0,17723.33,-30.85
2017-09-30,沃联财富,9.65,13.2%,9,6.00,1,91.00,605.56,10.07
2017-09-30,首信创投,9.5,12.58%,25,1.84,3,49.18,1329.14,1.56
2017-09-30,金柜贷,9,9.6%,6,12.00,2,98.50,1530.57,9.6
2017-09-30,1号钱庄,7,9.5%,3,0.03,1,837.21,-220.25,-8
2017-09-30,捷创贷,7,13%,10,1.00,1,1003.50,570.54,-8.2
2017-09-30,千金e诺,6.8,8%,0,3.00,1,115.15,1246.67,6.91
2017-09-30,金控网贷,6.27,8%,13,3.00,1,2.85,13207.73,6.21
2017-09-30,创绩宝,6,8.4%,8,1.00,1,0.00,1797.13,2.37
2017-09-30,天恩世诚,6,10%,25,3.00,2,0.10,3226.77,1.18
2017-09-30,玖富普惠,5.88,10.24%,9,11.47,19,36.75,98.5,6.2
2017-09-30,聚融在线,5.2,8.6%,6,3.00,1,1497.48,538.53,-2.55
2017-09-30,速贷100,5,15%,2,6.00,1,0,386.84,-299.03
2017-09-30,瑞涛财富,5,14.4%,2,1.00,1,36.59,464.2,-5.06
2017-09-30,小白菜理财,3.2,11%,5,2.00,1,1753.00,455.75,-18.04
2017-09-30,众可贷,3.01,13.36%,7,14.89,1,17.02,1350.7,1.74
2017-09-30,益投网贷,3,18.3%,0,0.10,1,304.41,1883.83,3
2017-09-30,钱来也,3,12%,4,1.00,1,0.00,1019.09,2.56
2017-09-30,178网贷,3,15%,6,3.00,1,7.20,261.02,0.03
2017-09-30,金宝保,0,0%,0,0.00,0,0.00,151733.24,0
2017-09-30,陆金服,0,0%,0,0.00,0,0.00,15776616,0
2017-09-30,钱贷网,0,0%,0,0.00,0,0.00,18399.07,0
2017-09-30,信和大金融,0,0%,0,0.00,0,0.00,627225.08,0
2017-09-30,长吉贷,0,0%,0,0.00,0,0.00,9813.4,0
2017-09-30,国诚金融,0,0%,0,0,0,0,405.44,-1.39
2017-09-30,逍遥贷,0,0%,0,0,0,0,0,0
2017-09-30,猴子理财,0,0%,0,0,0,0,0,0
2017-09-30,聚投融,0,0%,0,0,0,0,0,0
2017-09-30,码头益,0,0%,0,0,0,0,1112.12,-6.16
2017-09-30,广州e贷,0,0%,0,0,0,0,31928.41,-214.12
2017-09-30,中再融,0,0%,0,0,0,0,7826.3,-100.91
2017-09-30,意投财富,0,0%,0,0,0,0,0,0
2017-09-30,大麦理财,0,0%,0,0,0,0,41552.5,-5
2017-09-30,投融贷,0,0%,0,0,0,0,0,0
2017-09-30,顺顺贷,0,0%,21,0,0,0,1055.56,0
2017-09-30,金联储,0,0%,0,0,0,0,66751.53,-634.8
2017-09-30,金财动力,0,0%,0,0,0,0,4386.25,-44.27
2017-09-30,合拍贷,0,0%,0,0,0,0,4279.6,-20.63
2017-09-30,草根新贷,0,0%,0,0,0,0,43.55,-4.81
2017-09-30,贷乐网,0,0%,0,0,0,0,0,0
2017-09-30,点银网,0,0%,0,0,0,0,0,0
2017-09-30,e速贷,0,0%,0,0,0,0,22.63,-0.86
2017-09-30,OK贷 ,0,0%,0,0,0,0,4768.92,-0.6
2017-09-30,京贷网,0,0%,0,0,0,0,-88.27,0
2017-09-30,合盘贷,0,0%,0,0,0,0,21953.76,-118.78
2017-09-30,海星宝理财,0,0%,0,0,0,0,4206.83,-11.89
2017-09-30,吉贷网,0,0%,0,0,0,0,0,0
2017-09-30,宁创贷,0,0%,0,0,0,0,0,0
2017-09-30,小油菜,0,0%,0,0,0,0,0,0
2017-09-30,创乐财富,0,0%,0,0,0,0,3413.54,-61.64
2017-09-30,雍和金融,0,0%,0,0,0,0,0,0
2017-09-30,微金在线,0,0%,0,0,0,0,1764.47,0
2017-09-30,贴身贷,0,0%,0,0,0,0,614.73,0
2017-09-30,久信e贷,0,0%,0,0,0,0,108.55,-3.76
2017-09-30,金融工场,0,0%,0,0,0,0,61142.08,-927.44
2017-09-30,金益金服,0,0%,22,0,0,0,-25949.24,0
2017-09-30,爱康金服,0,0%,39,0,0,0,23112.74,-1105.44
2017-09-30,普天金安,0,0%,0,0,0,0,-7576.8,-664.3
2017-09-30,万家兄弟,0,0%,0,0,0,0,0,0
2017-09-30,雪莲借贷,0,0%,0,0,0,0,4247.77,-42.1
2017-09-30,企额贷,0,0%,0,0,0,0,6474.78,-85.12
2017-09-30,汇付四海,0,0%,0,0,0,0,201.58,0
2017-09-30,点融网,0,0%,92,0,0,0,70869.4,-113.22
2017-09-30,安捷财富,0,0%,0,0,0,0,162043.06,-276.36
2017-09-30,苏丰创投,0,0%,0,0,0,0,0,0
2017-09-30,医界贷,0,0%,0,0,0,0,39131.9,-62.06
2017-09-30,好房理财网,0,0%,0,0,0,0,1182.68,0
2017-09-30,付融宝,0,0%,0,0,0,0,193137.11,-586
2017-09-30,狮子座金融,0,0%,0,0,0,0,21970.27,-80.27
2017-09-30,微品金融,0,0%,0,0,0,0,11920.33,-1.7
2017-09-30,优聚投,0,0%,0,0,0,0,1318.01,-5.25
2017-09-30,易互贷,0,0%,0,0,0,0,0,0
2017-09-30,花生米富,0,0%,0,0,0,0,0,0
2017-09-30,九信金融,0,0%,0,0,0,0,1253.76,-41.6
2017-09-30,合米金服,0,0%,0,0,0,0,4685.53,-113.81
2017-09-30,钱增增,0,0%,0,0,0,0,0,-116.89
2017-09-30,橙旗贷,0,0%,0,0,0,0,12917.56,-322.35
2017-09-30,小鹅e贷,0,0%,2,0,0,0,-0.4,0
2017-09-30,力帆善融,0,0%,0,0,0,0,1699.93,-163.68
2017-09-30,淘收益,0,0%,11,0,0,0,12380.12,0
2017-09-30,融金桥,0,0%,0,0,0,0,4093.28,-41.52
2017-09-30,喜投网,0,0%,0,0,0,0,0,0
2017-09-30,长汇财富,0,0%,0,0,0,0,0,0
2017-09-30,聚车金融,0,0%,0,0,0,0,21403.2,-671.9
2017-09-30,兆金所,0,0%,0,0,0,0,3078.54,-24.07
2017-09-30,口袋理财,0,0%,8881,0,0,0,193758.98,-1739.16
2017-09-30,金E柴神,0,0%,0,0,0,0,0,0
2017-09-30,票票喵,0,0%,0,0,0,0,1579.59,-100.06
2017-09-30,白银巷子,0,0%,0,0,0,0,549.68,-1.95
2017-09-30,锦绣钱程,0,0%,0,0,0,0,10986.49,-1.84
2017-09-30,众贷汇,0,0%,0,0,0,0,86.13,0
2017-09-30,派派猪理财,0,0%,0,0,0,0,5975.31,-217.01
2017-09-30,富金利,0,0%,0,0,0,0,3495.68,0
2017-09-30,壹佰金融,0,0%,0,0,0,0,70160.09,-267.52
2017-09-30,收获宝,0,0%,8,0,0,0,3583.36,-1.26
2017-09-30,财富N次方,0,0%,0,0,0,0,0,0
2017-09-30,协众金融,0,0%,14,0,0,0,-1279.75,0
2017-09-30,69贷,0,0%,0,0,0,0,0,0
2017-09-30,青岛汇泉贷,0,0%,0,0,0,0,40899.63,-1.16
2017-09-30,众信金融,0,0%,0,0,0,0,283764.31,-777.09
2017-09-30,艺融网,0,0%,0,0,0,0,626.88,-1.75
2017-09-30,投促金融,0,0%,0,0,0,0,14516.95,-2.25
2017-09-30,民信贷   ,0,0%,0,0,0,0,7058.62,-67.78
2017-09-30,新华久久贷,0,0%,14,0,0,0,19330.58,-5.1
2017-09-30,多多智富,0,0%,0,0,0,0,0,0
2017-09-30,鑫华士,0,0%,0,0,0,0,0,0
2017-09-30,中恒宝,0,0%,0,0,0,0,12594.25,0
2017-09-30,信融财富,0,0%,0,0,0,0,233163.61,-153.03
2017-09-30,存利网,0,0%,0,0,0,0,29000.41,-136.15
2017-09-30,蛙蛙在线,0,0%,0,0,0,0,3051.91,-42.8
2017-09-30,亿钱贷,0,0%,0,0,0,0,1230.78,-20.2
2017-09-30,上雨创投,0,0%,0,0,0,0,162.89,0
2017-09-30,宏信创投,0,0%,0,0,0,0,0,0
2017-09-30,协众金融,0,0%,14,0,0,0,-1279.75,0
2017-09-30,钱海湾,0,0%,0,0,0,0,0,0
2017-09-30,周转贷,0,0%,0,0,0,0,-177.98,0
2017-09-30,金陵贷,0,0%,0,0,0,0,465.15,-50.5
2017-09-30,汉金所,0,0%,0,0,0,0,20896.44,0
2017-09-30,天天贷,0,0%,0,0,0,0,4.27,0
2017-09-30,易汇人人,0,0%,3,0,0,0,1387.24,-0.28
2017-09-30,财火火,0,0%,0,0,0,0,362.46,0
2017-09-30,超爱财,0,0%,0,0,0,0,14019.41,-73.04
2017-09-30,财富派,0,0%,0,0,0,0,16182.84,-206.27
2017-09-30,贵州网贷,0,0%,0,0,0,0,0,0
2017-09-30,票金所,0,0%,0,0,0,0,124.19,0
2017-09-30,理财去,0,0%,0,0,0,0,3079.73,-1.24
2017-09-30,渣丰投资,0,0%,0,0,0,0,0,0
2017-09-30,幸福贷,0,0%,0,0,0,0,0,0
2017-09-30,金信网,0,0%,0,0,0,0,519345.3,-4555.55
2017-09-30,我企贷,0,0%,0,0,0,0,0,0
2017-09-30,懒财网,0,0%,0,0,0,0,2717274.35,0
2017-09-30,爱当宝,0,0%,5,0,0,0,952.72,0
2017-09-30,皮城金融,0,0%,0,0,0,0,14992.35,-4.83
2017-09-30,小算盘,0,0%,0,0,0,0,0,0
2017-09-30,小树时代理财,0,0%,0,0,0,0,15114.77,-75.84
2017-09-30,大众贷,0,0%,0,0,0,0,2494.03,-30.65
2017-09-30,城城理财,0,0%,0,0,0,0,0,0
2017-09-30,乐升易贷,0,0%,0,0,0,0,864.86,-0.65
2017-09-30,贷贷兴隆,0,0%,0,0,0,0,21998.79,-9.67
2017-09-30,新安左右贷,0,0%,37,0,0,0,30539.44,-44.64
2017-09-30,亿信天合,0,0%,0,0,0,0,0,0
2017-09-30,利融网,0,0%,34,0,0,0,1093.84,-38.46
2017-09-30,金投手,0,0%,0,0,0,0,21797.82,0
2017-09-30,佰易贷,0,0%,0,0,0,0,3822.17,-15.31
2017-09-30,华众金服,0,0%,0,0,0,0,0,0
2017-09-30,小宝金服,0,0%,0,0,0,0,0,0
2017-09-30,正能贷,0,0%,0,0,0,0,38.8,0
2017-09-30,一一贷,0,0%,0,0,0,0,3068.23,0
2017-09-30,好收益,0,0%,157,0,0,0,9414.79,-317.23
2017-09-30,融裕贷,0,0%,0,0,0,0,49.94,0
2017-09-30,麻袋理财,0,0%,0,0,0,0,962320.78,-1924.47
2017-09-30,慈E贷,0,0%,0,0,0,0,100.94,-35.63
2017-09-30,宏鑫宝,0,0%,0,0,0,0,129.86,0
2017-09-30,振源财富,0,0%,0,0,0,0,1078.59,-0.65
2017-09-30,科瑞财富,0,0%,3,0,0,0,1870.81,-10.39
2017-09-30,优投金服,0,0%,0,0,0,0,4770.33,-19.01
2017-09-30,迈信金融,0,0%,2,0,0,0,433.01,-20.46
2017-09-30,互惠理财网,0,0%,0,0,0,0,26652.96,-353.76
2017-09-30,黄鹤金服,0,0%,0,0,0,0,0,0
2017-09-30,融众网,0,0%,24,0,0,0,9731.36,-134.51
2017-09-30,投米,0,0%,0,0,0,0,0,0
2017-09-30,平安理财网,0,0%,0,0,0,0,316.13,0
2017-09-30,财雨网,0,0%,3,0,0,0,1775.15,-0.68
2017-09-30,易天贷,0,0%,0,0,0,0,2598.87,-1.62
2017-09-30,筷来财 ,0,0%,0,0,0,0,8973.9,-132.2
2017-09-30,飞鸟金融,0,0%,0,0,0,0,678.95,-2.28
2017-09-30,众隆金服,0,0%,0,0,0,0,0,0
2017-09-30,莆商贷,0,0%,0,0,0,0,1744.31,-15.53
2017-09-30,新华贷,0,0%,0,0,0,0,0,0
2017-09-30,睿银财富,0,0%,0,0,0,0,0,0
2017-09-30,贷贷网,0,0%,0,0,0,0,2447.31,-24.79
2017-09-30,亿企聚财,0,0%,0,0,0,0,468.37,-100.63
2017-09-30,满益网,0,0%,0,0,0,0,2738.98,-51.15
2017-09-30,随时融,0,0%,0,0,0,0,0,0
2017-09-30,中国融信贷,0,0%,0,0,0,0,-108.56,0
2017-09-30,新联在线,0,0%,0,0,0,0,375918.58,0
2017-09-30,当天金融,0,0%,0,0,0,0,0,0
2017-09-30,轩辕财富,0,0%,0,0,0,0,-0.8,0
2017-09-30,贝贝创投,0,0%,0,0,0,0,0,0
2017-09-30,石榴壳,0,0%,0,0,0,0,2386.11,-31.12
2017-09-30,粒子财富,0,0%,0,0,0,0,2043.75,-27.12
2017-09-30,好借好贷,0,0%,0,0,0,0,0,0
2017-09-30,四海众投,0,0%,0,0,0,0,1960.74,-31.47
2017-09-30,创赢易贷,0,0%,0,0,0,0,0,0
2017-09-30,有喜财富,0,0%,0,0,0,0,2239.13,-5.3
2017-09-30,乐投天下,0,0%,0,0,0,0,48135.66,-100.75
2017-09-30,贷未来,0,0%,7,0,0,0,1307.16,0
2017-09-30,中盛金服,0,0%,0,0,0,0,0,0
2017-09-30,连资贷,0,0%,165,0,0,0,36068.51,-1461.38
2017-09-30,易宝金融,0,0%,0,0,0,0,-14869.75,-4.53
2017-09-30,智融财富,0,0%,0,0,0,0,8060.11,-162.11
2017-09-30,人众金服,0,0%,0,0,0,0,151571.95,-2495.61
2017-09-30,百利市,0,0%,0,0,0,0,5994.24,0
2017-09-30,融魔方,0,0%,0,0,0,0,0,0
2017-09-30,相融网,0,0%,0,0,0,0,4934.8,0
2017-09-30,开鑫金服,0,0%,0,0,0,0,10635.53,-642.31
2017-09-30,汇投资,0,0%,0,0,0,0,0,0
2017-09-30,Formax金融圈,0,0%,0,0,0,0,0,0
2017-09-30,快联财富,0,0%,0,0,0,0,0,0
2017-09-30,微金所,0,0%,0,0,0,0,0,0
2017-09-30,车融资,0,0%,0,0,0,0,1416.11,-2
2017-09-30,普资华企,0,0%,0,0,0,0,30473.75,-704.64
2017-09-30,奔宝贷,0,0%,0,0,0,0,3139.27,0
2017-09-30,腾邦创投,0,0%,0,0,0,0,0,0
2017-09-30,永利宝,0,0%,0,0,0,0,80764.72,-358.01
2017-09-30,冠腾贷,0,0%,0,0,0,0,180.71,-30.38
2017-09-30,e租宝,0,0%,0,0,0,0,0,0
2017-09-30,来财街,0,0%,0,0,0,0,0,0
2017-09-30,91快车,0,0%,0,0,0,0,0,0
2017-09-30,国惠金融,0,0%,0,0,0,0,0,0
2017-09-30,快捷财富,0,0%,63,0,0,0,599.46,-91.35
2017-09-30,文宝保,0,0%,0,0,0,0,3585.74,0
2017-09-30,拍拍贷,0,0%,0,0,0,0,1884395.96,-10666.57
2017-09-30,宏金多,0,0%,0,0,0,0,22.84,0
2017-09-30,壹宝贷,0,0%,0,0,0,0,17319.66,-130.63
2017-09-30,钱程在线,0,0%,0,0,0,0,0,0
2017-09-30,51人品,0,0%,0,0,0,0,0,0
2017-09-30,上网贷,0,0%,0,0,0,0,0,0
2017-09-30,首鸿财富,0,0%,0,0,0,0,-162.56,0
2017-09-30,光合种子,0,0%,0,0,0,0,2231.68,-0.35
2017-09-30,鑫合汇,0,0%,0,0,0,0,410996.18,-77469.35
2017-09-30,迪迪贷,0,0%,0,0,0,0,6862.37,-60.6
2017-09-30,网筹金融,0,0%,0,0,0,0,2488.89,-71.85
2017-09-30,贷贷巴,0,0%,0,0,0,0,0,0
2017-09-30,胖胖猪,0,0%,0,0,0,0,0,0
2017-09-30,润合金融,0,0%,0,0,0,0,2048.22,-0.8
2017-09-30,车易贷,0,0%,0,0,0,0,26161.62,-179.83
2017-09-30,爱钱帮,0,0%,0,0,0,0,93427.11,-1087.95
2017-09-30,点石金融,0,0%,4,0,0,0,1308.21,-10.12
2017-09-30,众易贷,0,0%,0,0,0,0,0,0
2017-09-30,诚投在线,0,0%,0,0,0,0,6438.03,-1.25
2017-09-30,宁安贷,0,0%,0,0,0,0,1352.26,-5.15
2017-09-30,易融恒信,0,0%,0,0,0,0,26549.16,-72.27
2017-09-30,商富贷,0,0%,0,0,0,0,380.42,0
2017-09-30,广裕贷,0,0%,1,0,0,0,273.84,-12.12
2017-09-30,易融贷,0,0%,0,0,0,0,0,0
2017-09-30,微信贷,0,0%,0,0,0,0,857.33,0
2017-09-30,寺库,0,0%,0,0,0,0,6089.77,-108.17
2017-09-30,百合贷,0,0%,0,0,0,0,27827.72,-171.79
2017-09-30,趣投资,0,0%,0,0,0,0,746.5,-66.4
2017-09-30,金统贷,0,0%,0,0,0,0,808.69,-34.28
2017-09-30,孔方兄,0,0%,0,0,0,0,0,0
2017-09-30,智佳金服,0,0%,80,0,0,0,9583.69,-46.04
2017-09-30,信财贷,0,0%,0,0,0,0,1476.15,-0.12
2017-09-30,紫枫信贷,0,0%,0,0,0,0,1597.72,-3.85
2017-09-30,易米阳光,0,0%,0,0,0,0,938.3,0
2017-09-30,百融网,0,0%,0,0,0,0,105,0
2017-09-30,睿信财富,0,0%,0,0,0,0,89.69,-0.1
2017-09-30,万富宝,0,0%,0,0,0,0,2380.71,-12.45
2017-09-30,投储在线,0,0%,0,0,0,0,-53.11,-10.12
2017-09-30,小狗钱钱,0,0%,0,0,0,0,6741.53,0
2017-09-30,诚甄财富,0,0%,0,0,0,0,8.48,0
