采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款金额(万),净资金流入(万)
2017-09-30,城铁在融,1636.27,14.28%,348,1.34,6,60.92,20391.3,0
2017-09-30,元宝365,1632.75,8.03%,579,1.27,197,118.82,58499.03,312.91
2017-09-30,珠宝贷,1600,10.79%,252,5.21,5,719.00,63371.84,1170.19
2017-09-30,新升贷,1553.74,11.92%,111,6.29,196,0.49,80007.88,766.15
2017-09-30,招商贷,1551.21,10.29%,664,4.29,19,509.52,172775.64,340
2017-09-30,福银票号,1520.89,7.05%,43,3.23,20,144.24,134336.35,274.29
2017-09-30,聚有财,1508.83,7.7%,241,7.32,329,1.92,251495.22,-49.85
2017-09-30,金盈所,1503,9.07%,338,5.97,5,295.05,99628.77,-441.85
2017-09-30,零用贷,1306.2,8.08%,887,2.71,283,219.32,60403.85,67.7
2017-09-30,万盈金融,1300,11.77%,202,10.85,13,692.51,121054.09,1116.33
2017-09-30,欢乐合家,1287.05,8.77%,476,6.37,15,1250.06,185315.78,-191.84
2017-09-30,联金所,1286.86,11.72%,384,23.67,254,21.46,57197.23,0
2017-09-30,铜掌柜,1272.16,7.19%,691,1.24,19,98.11,196829.61,42.61
2017-09-30,e融所,1267.19,9.91%,331,4.39,72,164.22,115449.21,887.11
2017-09-30,浙财理财,1257,8.04%,165,0.44,12,543.25,22960.69,-488.73
2017-09-30,九斗鱼,1228.98,9.96%,206,2.46,13,984.51,71106.44,353.56
2017-09-30,利民网,1215.51,10.3%,972,2.60,78,232.97,67516.04,359.85
2017-09-30,合众e贷,1178.19,10.07%,424,0.53,7991,1.34,22039.63,-150.67
2017-09-30,迷你贷,1139.1,10.95%,549,1.49,43,2.09,51958.83,38.45
2017-09-30,米缸金融,1122.65,7.96%,532,11.41,22,145.44,311212.18,0
2017-09-30,宜聚网,1111.89,11.42%,571,4.08,73,142.43,95548.16,498.89
2017-09-30,知商金融,1109.82,8.91%,259,5.44,51,274.88,58175.98,386.33
2017-09-30,日日昌,1100,5.55%,361,1.91,11,86.12,54186.2,843.7
2017-09-30,理想宝,1095.1,10.23%,565,3.37,18,82.46,85963.64,821.07
2017-09-30,汇理财,1054.22,11.57%,292,5.54,2,177.39,146049.44,14.2
2017-09-30,多多理财,1018.64,10.75%,1980,2.51,92,129.09,76396.13,152.7
2017-09-30,钱香,1000,9.7%,331,3.90,10,279.16,46416.43,721.22
2017-09-30,爱米理财,997.69,10.35%,419,4.84,61,108.25,58349.86,0
2017-09-30,中融投,979.5,11.42%,404,5.83,21,253.21,45246.14,491.72
2017-09-30,祺天优贷,976.28,9.94%,548,2.10,21,552.88,66087.46,-80.25
2017-09-30,两只老虎,965.9,10.89%,533,6.57,24,130.76,75746.76,827.91
2017-09-30,资本在线,954.9,13.39%,157,4.08,12,0.28,94560.38,142.74
2017-09-30,诺诺镑客,949.17,11.76%,6810,29.00,733,0.98,641872.99,-242.59
2017-09-30,金投行,948.1,6.42%,219,6.62,34,230.95,223820.02,-586.48
2017-09-30,隆金宝,933.76,7.61%,45,6.08,1,91.48,173964,0
2017-09-30,淘淘金,917.62,8.16%,385,6.24,2,545.46,138173.33,-159.6
2017-09-30,友金所,897.7,9%,8324,34.70,53,0.32,637328.56,581.14
2017-09-30,图腾贷,894.41,12.75%,1250,4.04,121,96.83,101788.1,219.83
2017-09-30,大同行,894,13%,341,2.92,8,100.57,43197.16,256.82
2017-09-30,分利宝,881.75,8.15%,1014,1.27,5552,0.12,63003.34,-510.05
2017-09-30,一起好,860.13,12.46%,827,6.80,4973,2.17,161491.54,-161.32
2017-09-30,丁丁金服,830.26,12.28%,610,5.72,97,99.15,38839.06,328.94
2017-09-30,合拍在线,830,10.84%,114,6.56,3,1358.31,133602.02,835.48
2017-09-30,富勤金融,821.42,11.8%,176,19.69,79,0.00,42284.03,788.03
2017-09-30,慧融财富,802,8.45%,251,2.36,19,354.43,10048.53,-995.49
2017-09-30,钱保姆,794.02,9.63%,440,1.68,8,430.98,57222.49,-162.05
2017-09-30,抱财网,794,9.7%,272,11.48,15,342.79,182239.79,385.67
2017-09-30,粤商贷,772.46,11.49%,281,4.44,25,87.05,30875.68,227.83
2017-09-30,安心贷,768.78,9.08%,257,9.35,132,252.22,118908.98,152.4
2017-09-30,中广核富盈,752,8.09%,83,12.22,1,116.47,55418.59,129.57
2017-09-30,乐居财富,710,14.44%,522,5.69,7,22.34,99318.65,169.08
2017-09-30,链链金融,705.3,6%,349,10.37,201,1.71,40711.29,385.63
2017-09-30,金银猫,704.51,6.62%,519,1.97,31,212.15,127175.84,-200.92
2017-09-30,诚汇通,693,13.87%,407,12.58,31,410.81,97686.04,290.02
2017-09-30,融贝网,681.69,8.73%,739,4.59,29,508.77,92418.97,-478.16
2017-09-30,诚信贷,679.29,12.09%,156,3.22,4,270.39,39537.58,-50.62
2017-09-30,壹心贷,666.6,9%,95,1.03,8,0,16423.67,492.23
2017-09-30,百金贷,661.89,10.03%,254,3.88,43,170.15,38291.82,-343.6
2017-09-30,花虾金融,656.66,10.3%,636,30.15,750,0.00,66629.52,0
2017-09-30,168理财,653.65,10.94%,432,10.94,64,112.59,57335.02,0
2017-09-30,钱来网,647,11.16%,43,6.69,9,45.04,113043.54,438.9
2017-09-30,信用宝,646.76,12%,0,0.48,3,1696.51,73849.14,133.35
2017-09-30,信广立诚贷,628.63,11.17%,248,7.86,4,454.33,62471.12,0
2017-09-30,首金网,615.18,8.65%,240,7.98,1169,4.67,166159.72,-669.01
2017-09-30,钱吧,602.21,10.26%,375,9.45,94,136.87,83287.51,-245.39
2017-09-30,爱投金融,602.2,8.81%,192,5.83,33,106.80,34887.99,0
2017-09-30,银巴克,600,10.27%,82,2.33,6,442.43,14265.02,388.52
2017-09-30,后河财富,597.04,12.16%,178,14.29,89,157.58,66059.67,331.62
